user_id,job_id,action,timestamp_days_ago
34,735,view,64
18,618,view,83
9,953,view,24
26,782,save,16
21,866,view,17
20,799,view,22
22,401,view,19
45,62,view,39
10,607,view,17
13,764,view,14
28,991,view,47
2,681,save,71
7,568,save,12
28,575,view,46
25,115,apply,59
32,7,view,63
5,45,save,9
42,904,view,66
24,790,view,2
7,260,view,21
15,423,view,28
11,483,view,76
22,246,view,17
23,422,view,70
21,347,view,88
23,694,view,86
45,757,apply,27
47,98,view,8
24,465,apply,19
48,991,view,69
40,868,view,17
40,793,view,58
11,734,view,33
21,4,view,69
17,974,save,54
4,735,view,52
3,888,save,70
31,908,view,85
21,254,view,32
41,13,view,47
33,659,apply,56
4,458,view,74
41,20,view,43
24,270,view,33
28,991,view,76
48,363,apply,85
32,261,save,51
1,654,save,9
8,664,apply,26
21,332,save,41
1,849,view,63
8,580,view,60
39,160,view,73
7,324,view,2
8,847,view,41
25,89,view,63
4,12,apply,88
12,656,apply,12
46,441,view,79
31,252,save,0
48,472,view,17
17,183,view,76
30,374,view,70
11,233,view,87
18,586,view,54
8,673,view,55
41,914,view,48
9,67,view,46
10,326,apply,46
23,264,view,26
21,579,view,76
15,533,view,32
17,877,view,54
14,919,view,60
45,772,view,48
29,198,view,55
45,40,view,4
49,899,view,28
32,942,view,40
41,250,view,35
5,46,view,81
47,680,view,80
24,588,view,64
35,888,view,31
12,575,view,4
4,760,view,67
44,786,view,79
22,9,view,44
6,148,view,74
32,780,view,83
2,179,save,49
22,206,apply,18
35,752,apply,2
36,204,view,68
22,149,view,50
18,13,view,13
41,469,view,4
9,636,view,87
3,731,view,28
7,905,view,29
40,651,view,56
23,756,view,32
1,210,view,82
8,340,apply,61
1,303,view,32
40,65,view,23
23,968,apply,77
3,241,view,53
11,448,view,82
30,356,view,31
29,44,view,1
40,903,view,80
1,219,save,21
3,100,save,76
1,342,save,63
19,143,apply,20
36,999,view,68
33,188,save,7
10,302,view,35
32,271,view,32
32,26,save,59
9,12,save,48
37,512,save,55
21,232,view,42
2,83,view,66
19,291,view,14
38,274,view,64
34,424,save,4
13,992,save,7
37,306,view,65
19,704,view,14
23,768,view,69
4,50,view,11
49,501,view,13
41,448,apply,83
9,507,view,15
28,171,apply,82
39,465,view,31
25,122,save,71
10,945,view,84
48,587,view,10
13,34,view,29
16,505,save,51
18,926,apply,77
44,742,view,16
25,272,view,16
35,892,view,33
45,185,save,18
46,246,view,24
42,154,view,11
45,922,view,74
47,716,view,71
49,517,save,13
32,667,save,48
6,258,save,58
5,70,save,56
39,845,save,88
15,964,view,57
40,35,apply,61
46,51,view,2
32,559,view,7
38,43,save,55
13,721,view,81
21,945,view,35
48,279,view,57
40,294,view,18
10,863,apply,41
46,356,view,67
24,240,view,59
42,84,view,10
26,839,view,79
30,925,view,83
8,78,view,42
16,802,view,30
36,159,view,47
42,138,view,72
4,380,view,40
3,436,save,2
34,854,view,6
22,699,view,73
42,144,apply,70
3,584,view,69
17,875,view,11
1,662,save,15
35,229,view,35
42,128,save,20
7,452,save,34
16,472,apply,50
42,352,apply,25
2,109,view,11
47,118,save,36
44,528,view,65
7,944,view,55
6,597,view,28
34,438,view,28
0,931,view,52
25,690,view,15
3,717,view,75
26,575,view,78
17,762,apply,2
35,501,view,87
44,622,save,2
24,616,save,41
32,752,save,60
30,898,view,29
49,294,save,18
11,699,save,4
11,31,save,65
18,532,apply,3
36,898,view,43
43,645,view,35
13,267,save,87
5,606,view,83
30,357,save,73
29,433,view,65
18,228,view,48
9,624,view,31
42,198,view,14
42,443,apply,87
37,939,view,34
28,757,save,38
13,414,view,12
20,968,apply,24
3,13,view,57
12,959,view,38
22,352,view,52
21,820,view,19
4,947,apply,7
47,601,apply,79
13,610,view,38
25,749,view,32
23,239,view,25
23,178,view,59
42,343,view,50
37,479,view,35
43,742,view,83
18,257,save,81
13,564,view,17
21,3,view,57
28,30,view,87
16,966,view,43
23,850,view,2
7,863,view,11
29,328,view,60
35,513,save,81
26,674,save,11
43,254,apply,49
49,744,view,44
45,692,view,25
4,407,view,56
44,434,view,79
16,307,apply,21
22,803,apply,4
20,986,view,32
14,999,view,28
43,771,view,65
31,349,view,48
48,781,apply,1
47,244,view,30
20,896,view,66
36,267,view,42
25,402,view,50
24,93,view,23
36,81,save,28
34,394,view,11
45,550,view,7
38,17,view,3
31,846,view,56
45,114,view,14
5,998,view,51
38,271,view,85
19,378,view,62
21,159,save,51
39,824,save,10
13,732,apply,44
44,78,view,80
24,105,save,34
17,609,view,74
16,865,view,63
21,109,view,24
47,221,view,12
5,545,save,1
25,108,view,24
41,304,view,29
23,10,apply,59
28,499,view,51
17,715,apply,43
6,411,save,65
31,256,save,69
45,424,save,64
26,509,view,80
21,165,view,32
6,111,save,74
47,181,save,37
43,985,view,16
45,722,view,13
17,125,view,8
31,301,view,86
21,411,view,15
11,181,save,75
10,851,save,70
19,940,view,39
27,244,view,82
6,16,view,81
35,266,view,83
22,582,view,44
44,808,view,26
13,339,view,3
2,273,view,75
15,248,view,78
48,2,view,48
16,14,view,6
35,427,view,74
42,617,view,26
14,12,view,49
32,200,view,59
10,909,view,13
18,990,apply,5
14,641,view,7
33,521,view,86
43,583,view,86
12,370,save,38
14,201,save,38
41,375,view,36
23,699,view,31
25,662,view,48
35,677,view,32
6,608,view,55
43,60,view,34
18,626,apply,56
32,880,save,85
21,648,view,18
37,579,apply,5
30,223,view,47
8,792,view,10
9,451,save,20
43,262,view,71
25,489,view,37
13,122,view,49
7,926,view,69
6,702,view,11
45,326,view,43
48,793,view,3
19,54,view,44
10,386,view,20
20,651,save,82
6,23,view,23
27,708,view,18
31,818,save,1
