job_id,title,description,category,seniority,location,skills,salary_min,salary_max,posted_days_ago
22,software_engineer_22,role description 22,software,staff,"Berlin, , Germany","react,go,rust,aws",104023,172582,39
23,ml_engineer_23,role description 23,ml,staff,"Berlin, , Germany","tf,python,kubernetes,aws",61215,175290,26
24,frontend_engineer_24,role description 24,frontend,staff,"NYC, NY, USA","aws,ml,go",67854,166410,3
25,frontend_engineer_25,role description 25,frontend,junior,"Remote, , ","java,ml,python,sql",110534,138224,0
26,devops_engineer_26,role description 26,devops,junior,"Berlin, , Germany","ml,rust,go,sql",94178,142761,2
27,ml_engineer_27,role description 27,ml,mid,"Austin, TX, USA","rust,react",118419,179345,34
28,devops_engineer_28,role description 28,devops,senior,"Berlin, , Germany","aws,kubernetes,tf,ml",96280,169469,30
29,devops_engineer_29,role description 29,devops,mid,"Remote, , ","sql,kubernetes,java",99204,139032,44
30,devops_engineer_30,role description 30,devops,mid,"Berlin, , Germany","tf,rust,python,ml",113940,190228,53
31,data_engineer_31,role description 31,data,junior,"SF, CA, USA","kubernetes,go",99627,198451,10
32,software_engineer_32,role description 32,software,senior,"NYC, NY, USA","sql,kubernetes,tf,rust",79777,170086,57
33,devops_engineer_33,role description 33,devops,mid,"London, , UK","go,python,java,kubernetes",91678,138222,55
34,ml_engineer_34,role description 34,ml,junior,"Austin, TX, USA","ml,tf,sql,java",74136,195062,36
35,software_engineer_35,role description 35,software,senior,"Austin, TX, USA","react,java,ml,rust",80056,138934,31
36,ml_engineer_36,role description 36,ml,staff,"Berlin, , Germany","go,react,tf",100816,154597,10
37,ml_engineer_37,role description 37,ml,junior,"NYC, NY, USA","aws,python,ml,react",68938,188693,10
38,data_engineer_38,role description 38,data,mid,"Austin, TX, USA","sql,tf",100318,161654,1
39,frontend_engineer_39,role description 39,frontend,staff,"Remote, , ","ml,python,sql,go",95043,139438,38
40,software_engineer_40,role description 40,software,senior,"SF, CA, USA","java,react",78503,126408,25
41,frontend_engineer_41,role description 41,frontend,staff,"Austin, TX, USA","ml,sql",62696,148872,11
42,frontend_engineer_42,role description 42,frontend,mid,"London, , UK","react,tf,go",102277,173767,8
43,data_engineer_43,role description 43,data,mid,"London, , UK","tf,aws,kubernetes,sql",109470,177171,3
44,software_engineer_44,role description 44,software,senior,"SF, CA, USA","python,tf",103804,137835,38
45,ml_engineer_45,role description 45,ml,junior,"Austin, TX, USA","go,kubernetes,python,ml",85254,132699,41
46,devops_engineer_46,role description 46,devops,junior,"Remote, , ","kubernetes,sql",99212,176116,37
47,ml_engineer_47,role description 47,ml,senior,"Berlin, , Germany","kubernetes,java,react",84885,132725,6
48,frontend_engineer_48,role description 48,frontend,senior,"London, , UK","tf,ml",81495,125140,2
49,frontend_engineer_49,role description 49,frontend,junior,"Berlin, , Germany","ml,kubernetes,java",79630,158908,6
50,frontend_engineer_50,role description 50,frontend,senior,"SF, CA, USA","sql,python",72651,165672,45
51,software_engineer_51,role description 51,software,mid,"SF, CA, USA","react,java,tf",118161,139495,44
52,data_engineer_52,role description 52,data,senior,"Remote, , ","java,python,react",99972,136897,17
53,devops_engineer_53,role description 53,devops,staff,"Austin, TX, USA","sql,rust,react,aws",70495,138852,3
54,devops_engineer_54,role description 54,devops,junior,"London, , UK","java,tf,go",111902,147426,19
55,software_engineer_55,role description 55,software,staff,"Remote, , ","tf,python,rust",69078,120739,48
56,devops_engineer_56,role description 56,devops,mid,"London, , UK","ml,kubernetes",95620,120940,8
57,software_engineer_57,role description 57,software,staff,"London, , UK","rust,tf,sql",69931,149635,47
58,frontend_engineer_58,role description 58,frontend,mid,"Remote, , ","kubernetes,go",81673,121592,27
59,frontend_engineer_59,role description 59,frontend,mid,"Remote, , ","rust,sql",99511,145460,8
60,ml_engineer_60,role description 60,ml,staff,"Austin, TX, USA","sql,ml,python,rust",119947,166472,56
61,frontend_engineer_61,role description 61,frontend,senior,"Berlin, , Germany","java,tf,python",119513,122492,31
62,data_engineer_62,role description 62,data,junior,"NYC, NY, USA","react,tf,ml,aws",113733,169425,40
63,ml_engineer_63,role description 63,ml,senior,"London, , UK","kubernetes,rust,go,java",74128,169698,5
64,devops_engineer_64,role description 64,devops,staff,"Berlin, , Germany","rust,aws",65610,165866,22
65,data_engineer_65,role description 65,data,mid,"Berlin, , Germany","kubernetes,aws,go",114337,170132,37
66,ml_engineer_66,role description 66,ml,staff,"London, , UK","go,tf,react,sql",115388,184738,38
67,data_engineer_67,role description 67,data,senior,"Austin, TX, USA","python,kubernetes,react",76716,125664,3
68,software_engineer_68,role description 68,software,mid,"SF, CA, USA","ml,tf,react",61150,133506,36
69,devops_engineer_69,role description 69,devops,junior,"Remote, , ","go,react,ml",98873,145363,56
70,frontend_engineer_70,role description 70,frontend,senior,"SF, CA, USA","react,tf,rust",64565,175049,47
71,software_engineer_71,role description 71,software,junior,"Berlin, , Germany","react,java",62429,189824,12
72,devops_engineer_72,role description 72,devops,staff,"Remote, , ","ml,kubernetes",116228,193493,54
73,software_engineer_73,role description 73,software,senior,"Remote, , ","kubernetes,react,python,sql",89739,166573,40
74,frontend_engineer_74,role description 74,frontend,mid,"London, , UK","python,react,aws",66722,152809,3
75,devops_engineer_75,role description 75,devops,junior,"Remote, , ","go,python,tf,rust",99274,152957,7
76,data_engineer_76,role description 76,data,senior,"Remote, , ","python,go,ml,java",82151,124785,55
77,data_engineer_77,role description 77,data,junior,"Remote, , ","go,rust",92179,157208,12
78,devops_engineer_78,role description 78,devops,mid,"SF, CA, USA","sql,ml",113931,161027,5
79,frontend_engineer_79,role description 79,frontend,staff,"NYC, NY, USA","rust,go,java",74270,136662,27
80,ml_engineer_80,role description 80,ml,staff,"London, , UK","python,kubernetes,react",98790,181436,31
81,devops_engineer_81,role description 81,devops,staff,"NYC, NY, USA","ml,react",109709,184950,34
82,software_engineer_82,role description 82,software,staff,"SF, CA, USA","aws,sql,react,python",85426,144161,39
83,ml_engineer_83,role description 83,ml,senior,"London, , UK","sql,python",118208,193120,59
84,frontend_engineer_84,role description 84,frontend,junior,"NYC, NY, USA","python,kubernetes,ml,react",86898,128567,45
85,frontend_engineer_85,role description 85,frontend,staff,"Berlin, , Germany","tf,sql",87551,192853,1
86,software_engineer_86,role description 86,software,staff,"London, , UK","rust,java,tf,go",113051,181446,5
87,data_engineer_87,role description 87,data,staff,"Berlin, , Germany","sql,python",98155,137914,0
88,frontend_engineer_88,role description 88,frontend,senior,"SF, CA, USA","tf,kubernetes,python",112122,172013,23
89,ml_engineer_89,role description 89,ml,junior,"NYC, NY, USA","sql,ml",107424,144859,21
90,devops_engineer_90,role description 90,devops,senior,"Austin, TX, USA","aws,kubernetes,python,go",102742,183978,56
91,ml_engineer_91,role description 91,ml,mid,"SF, CA, USA","ml,aws",74489,132849,21
92,ml_engineer_92,role description 92,ml,staff,"London, , UK","rust,tf,aws,react",83930,139592,1
93,data_engineer_93,role description 93,data,mid,"SF, CA, USA","sql,aws",111867,144576,53
94,ml_engineer_94,role description 94,ml,mid,"NYC, NY, USA","rust,react,tf,sql",96961,135974,15
95,data_engineer_95,role description 95,data,junior,"London, , UK","rust,java,go,kubernetes",76812,146624,54
96,data_engineer_96,role description 96,data,staff,"Austin, TX, USA","rust,java,sql,ml",79641,168206,46
97,frontend_engineer_97,role description 97,frontend,staff,"Austin, TX, USA","rust,sql,java",106549,170648,52
98,frontend_engineer_98,role description 98,frontend,junior,"London, , UK","java,react",70691,164314,49
99,software_engineer_99,role description 99,software,mid,"SF, CA, USA","ml,aws",66725,135171,8
100,ml_engineer_100,role description 100,ml,mid,"Austin, TX, USA","kubernetes,ml",105906,136195,37
101,software_engineer_101,role description 101,software,mid,"London, , UK","go,kubernetes",77303,193551,24
102,ml_engineer_102,role description 102,ml,staff,"SF, CA, USA","tf,ml,python",105924,140106,37
103,software_engineer_103,role description 103,software,junior,"NYC, NY, USA","aws,react",92017,128247,44
104,frontend_engineer_104,role description 104,frontend,mid,"Austin, TX, USA","java,sql,tf,react",119868,156319,30
105,frontend_engineer_105,role description 105,frontend,junior,"SF, CA, USA","react,ml,aws,python",91495,120550,18
106,frontend_engineer_106,role description 106,frontend,junior,"London, , UK","react,python,go",112049,147412,54
107,frontend_engineer_107,role description 107,frontend,staff,"NYC, NY, USA","react,rust,go,aws",111025,188395,39
108,devops_engineer_108,role description 108,devops,staff,"SF, CA, USA","python,aws",72719,141391,53
109,frontend_engineer_109,role description 109,frontend,junior,"SF, CA, USA","tf,react,kubernetes,aws",119767,176301,14
110,data_engineer_110,role description 110,data,senior,"SF, CA, USA","tf,ml,aws,go",104748,159185,50
111,frontend_engineer_111,role description 111,frontend,junior,"London, , UK","ml,python",66432,148428,19
112,devops_engineer_112,role description 112,devops,junior,"Austin, TX, USA","react,rust,tf",60362,172926,27
113,devops_engineer_113,role description 113,devops,mid,"Austin, TX, USA","ml,sql,kubernetes,python",76283,167639,51
114,devops_engineer_114,role description 114,devops,junior,"London, , UK","sql,ml,kubernetes,react",60974,145458,21
115,devops_engineer_115,role description 115,devops,mid,"SF, CA, USA","react,java",81455,137883,15
116,software_engineer_116,role description 116,software,staff,"Austin, TX, USA","java,kubernetes",119781,193345,54
117,software_engineer_117,role description 117,software,senior,"Berlin, , Germany","react,go,sql,aws",88735,133471,57
118,data_engineer_118,role description 118,data,senior,"Berlin, , Germany","react,sql,java,ml",61434,196759,18
119,software_engineer_119,role description 119,software,mid,"London, , UK","kubernetes,go,aws",89634,157691,18
120,devops_engineer_120,role description 120,devops,junior,"London, , UK","aws,react",73146,199739,13
121,frontend_engineer_121,role description 121,frontend,junior,"Austin, TX, USA","kubernetes,tf,react,go",111371,148255,1
122,frontend_engineer_122,role description 122,frontend,mid,"Berlin, , Germany","java,kubernetes,ml,sql",65433,165240,33
123,devops_engineer_123,role description 123,devops,junior,"Berlin, , Germany","rust,kubernetes,tf",106233,169218,15
124,ml_engineer_124,role description 124,ml,staff,"London, , UK","go,python,sql,java",86758,147095,50
125,devops_engineer_125,role description 125,devops,staff,"SF, CA, USA","aws,ml",61131,137451,10
126,software_engineer_126,role description 126,software,staff,"SF, CA, USA","go,react,rust",100388,161627,38
127,frontend_engineer_127,role description 127,frontend,senior,"Berlin, , Germany","sql,java,aws",87301,173034,30
128,devops_engineer_128,role description 128,devops,senior,"NYC, NY, USA","tf,aws,go",106293,140913,36
129,frontend_engineer_129,role description 129,frontend,senior,"SF, CA, USA","go,kubernetes",97084,181348,6
130,devops_engineer_130,role description 130,devops,mid,"London, , UK","kubernetes,python",107235,171110,27
131,devops_engineer_131,role description 131,devops,senior,"Austin, TX, USA","sql,java",87623,133330,37
132,software_engineer_132,role description 132,software,staff,"Berlin, , Germany","kubernetes,ml,python,sql",60476,195091,20
133,devops_engineer_133,role description 133,devops,staff,"Remote, , ","sql,tf,rust,python",67838,123508,52
134,frontend_engineer_134,role description 134,frontend,senior,"Remote, , ","go,aws",87534,172298,31
135,data_engineer_135,role description 135,data,junior,"London, , UK","python,tf,aws",83848,155166,21
136,frontend_engineer_136,role description 136,frontend,senior,"Berlin, , Germany","ml,python",107661,172304,1
137,software_engineer_137,role description 137,software,mid,"NYC, NY, USA","react,rust,ml",84699,181921,10
138,data_engineer_138,role description 138,data,senior,"Berlin, , Germany","kubernetes,go,sql,ml",111611,174976,28
139,devops_engineer_139,role description 139,devops,senior,"Remote, , ","ml,go,aws,rust",71262,172062,24
140,ml_engineer_140,role description 140,ml,staff,"London, , UK","ml,tf,rust,java",83092,187270,52
141,data_engineer_141,role description 141,data,mid,"Austin, TX, USA","react,python,ml",105378,176150,47
142,data_engineer_142,role description 142,data,staff,"Austin, TX, USA","ml,go,java",67445,185099,9
143,devops_engineer_143,role description 143,devops,staff,"Berlin, , Germany","sql,rust,go",79284,152227,35
144,ml_engineer_144,role description 144,ml,mid,"Remote, , ","aws,ml,go,react",105111,136225,27
145,ml_engineer_145,role description 145,ml,mid,"Remote, , ","kubernetes,tf,sql,aws",95339,138795,6
146,software_engineer_146,role description 146,software,senior,"SF, CA, USA","rust,ml",106684,168968,39
147,data_engineer_147,role description 147,data,staff,"Austin, TX, USA","kubernetes,sql,ml",90943,162542,32
148,ml_engineer_148,role description 148,ml,senior,"Austin, TX, USA","tf,ml",111551,126172,5
149,software_engineer_149,role description 149,software,staff,"Austin, TX, USA","python,rust,kubernetes",112645,136349,28
150,ml_engineer_150,role description 150,ml,mid,"SF, CA, USA","tf,java",118473,197404,43
151,data_engineer_151,role description 151,data,senior,"SF, CA, USA","rust,aws",67320,178098,19
152,ml_engineer_152,role description 152,ml,mid,"Austin, TX, USA","rust,python",95471,180398,21
153,data_engineer_153,role description 153,data,staff,"Berlin, , Germany","go,aws,react,tf",66855,135757,6
154,devops_engineer_154,role description 154,devops,mid,"London, , UK","ml,go,python",73733,125137,12
155,frontend_engineer_155,role description 155,frontend,senior,"Remote, , ","ml,rust",78019,143301,58
156,software_engineer_156,role description 156,software,junior,"Remote, , ","java,aws,react,kubernetes",98768,188550,37
157,devops_engineer_157,role description 157,devops,staff,"Berlin, , Germany","kubernetes,react",85872,160523,10
158,devops_engineer_158,role description 158,devops,mid,"London, , UK","sql,aws,go",111884,182769,28
159,frontend_engineer_159,role description 159,frontend,mid,"Remote, , ","ml,python,java",77912,158936,11
160,ml_engineer_160,role description 160,ml,senior,"London, , UK","sql,react,tf",97033,159214,26
161,frontend_engineer_161,role description 161,frontend,mid,"SF, CA, USA","tf,kubernetes,aws",105791,168067,8
162,devops_engineer_162,role description 162,devops,staff,"Remote, , ","go,kubernetes",118818,196714,37
163,devops_engineer_163,role description 163,devops,senior,"Austin, TX, USA","sql,aws,python",74715,154995,34
164,devops_engineer_164,role description 164,devops,senior,"Austin, TX, USA","java,aws,python,rust",104016,167660,38
165,ml_engineer_165,role description 165,ml,junior,"Austin, TX, USA","ml,java",65086,193557,26
166,data_engineer_166,role description 166,data,junior,"SF, CA, USA","rust,kubernetes",92605,149784,17
167,software_engineer_167,role description 167,software,mid,"Austin, TX, USA","python,rust",84827,187194,14
168,data_engineer_168,role description 168,data,staff,"Austin, TX, USA","sql,ml,java,go",117512,162804,12
169,software_engineer_169,role description 169,software,staff,"Austin, TX, USA","sql,java,kubernetes,react",106402,190329,25
170,software_engineer_170,role description 170,software,senior,"NYC, NY, USA","ml,python",115635,157425,27
171,software_engineer_171,role description 171,software,senior,"London, , UK","tf,sql,aws",111033,170361,40
172,frontend_engineer_172,role description 172,frontend,mid,"Austin, TX, USA","kubernetes,aws,java",84640,145862,3
173,frontend_engineer_173,role description 173,frontend,junior,"London, , UK","java,aws,kubernetes,react",104000,170800,16
174,frontend_engineer_174,role description 174,frontend,junior,"SF, CA, USA","java,python,aws",61828,146099,51
175,devops_engineer_175,role description 175,devops,mid,"London, , UK","react,rust",93473,168735,54
176,frontend_engineer_176,role description 176,frontend,mid,"NYC, NY, USA","react,tf",62838,183101,55
177,software_engineer_177,role description 177,software,junior,"Remote, , ","sql,ml",103451,154790,18
178,ml_engineer_178,role description 178,ml,mid,"Berlin, , Germany","go,aws,react",118003,154338,8
179,devops_engineer_179,role description 179,devops,junior,"Remote, , ","rust,tf,python,kubernetes",100883,145768,11
180,ml_engineer_180,role description 180,ml,senior,"London, , UK","aws,kubernetes,go,sql",110396,178437,7
181,software_engineer_181,role description 181,software,staff,"SF, CA, USA","ml,java,kubernetes",74061,167360,57
182,devops_engineer_182,role description 182,devops,senior,"Berlin, , Germany","kubernetes,python,java,aws",119634,161315,53
183,frontend_engineer_183,role description 183,frontend,mid,"Berlin, , Germany","python,tf,sql,java",93045,122042,48
184,devops_engineer_184,role description 184,devops,mid,"Berlin, , Germany","ml,rust",100467,128808,43
185,devops_engineer_185,role description 185,devops,mid,"SF, CA, USA","aws,sql",106236,120596,20
186,software_engineer_186,role description 186,software,junior,"SF, CA, USA","python,aws",98375,188019,28
187,data_engineer_187,role description 187,data,senior,"SF, CA, USA","python,rust",79027,188131,50
188,data_engineer_188,role description 188,data,senior,"Remote, , ","aws,python,go,sql",96685,125434,48
189,data_engineer_189,role description 189,data,junior,"Berlin, , Germany","tf,rust",99238,123713,31
190,frontend_engineer_190,role description 190,frontend,mid,"Remote, , ","go,rust,tf,java",111440,182514,50
191,frontend_engineer_191,role description 191,frontend,mid,"Remote, , ","sql,aws",88888,161983,20
192,frontend_engineer_192,role description 192,frontend,junior,"SF, CA, USA","react,rust,go",90107,144714,24
193,data_engineer_193,role description 193,data,senior,"SF, CA, USA","rust,tf,go,sql",90189,169199,50
194,ml_engineer_194,role description 194,ml,senior,"Berlin, , Germany","react,ml,java",66865,138917,22
195,software_engineer_195,role description 195,software,senior,"London, , UK","go,sql,aws",65403,135853,45
196,data_engineer_196,role description 196,data,senior,"SF, CA, USA","kubernetes,react,java",61225,149398,27
197,software_engineer_197,role description 197,software,staff,"Austin, TX, USA","kubernetes,ml,react",99973,191658,17
198,data_engineer_198,role description 198,data,staff,"Berlin, , Germany","java,ml",85131,181372,13
199,ml_engineer_199,role description 199,ml,senior,"SF, CA, USA","aws,tf",111941,135207,36
200,data_engineer_200,role description 200,data,staff,"Remote, , ","aws,ml,tf,python",102134,164937,28
201,ml_engineer_201,role description 201,ml,mid,"NYC, NY, USA","ml,java,sql,kubernetes",68485,190761,22
202,devops_engineer_202,role description 202,devops,staff,"NYC, NY, USA","ml,sql",66004,196129,44
203,frontend_engineer_203,role description 203,frontend,staff,"Remote, , ","kubernetes,ml,go",81966,181039,0
204,devops_engineer_204,role description 204,devops,senior,"Remote, , ","sql,tf,ml",115256,130308,5
205,data_engineer_205,role description 205,data,staff,"London, , UK","ml,react,kubernetes,sql",62920,139259,57
206,frontend_engineer_206,role description 206,frontend,senior,"NYC, NY, USA","tf,java,python",71244,137488,39
207,ml_engineer_207,role description 207,ml,senior,"Austin, TX, USA","tf,kubernetes,java,sql",61777,132059,32
208,data_engineer_208,role description 208,data,mid,"SF, CA, USA","kubernetes,sql",84819,134026,0
209,frontend_engineer_209,role description 209,frontend,staff,"NYC, NY, USA","kubernetes,react,tf",119379,145298,35
210,data_engineer_210,role description 210,data,senior,"London, , UK","go,python",101022,164440,26
211,frontend_engineer_211,role description 211,frontend,staff,"London, , UK","sql,java",89608,151836,35
212,frontend_engineer_212,role description 212,frontend,mid,"Berlin, , Germany","kubernetes,react,rust",68663,153665,2
213,devops_engineer_213,role description 213,devops,staff,"NYC, NY, USA","java,rust,react,python",81331,139662,33
214,frontend_engineer_214,role description 214,frontend,junior,"NYC, NY, USA","tf,sql,ml,react",91472,132083,34
215,data_engineer_215,role description 215,data,junior,"Remote, , ","java,ml,go,python",76492,199911,17
216,software_engineer_216,role description 216,software,senior,"Remote, , ","tf,react,python,go",102303,167919,3
217,software_engineer_217,role description 217,software,senior,"Austin, TX, USA","python,go",118800,138372,58
218,devops_engineer_218,role description 218,devops,staff,"SF, CA, USA","tf,ml,go,kubernetes",72356,184799,42
219,ml_engineer_219,role description 219,ml,mid,"SF, CA, USA","react,tf,rust,sql",75135,186450,37
220,software_engineer_220,role description 220,software,senior,"Austin, TX, USA","tf,java,react",67574,197342,46
221,devops_engineer_221,role description 221,devops,senior,"NYC, NY, USA","sql,rust",103542,132729,40
222,frontend_engineer_222,role description 222,frontend,staff,"NYC, NY, USA","go,kubernetes,react,rust",87703,171197,8
223,data_engineer_223,role description 223,data,senior,"Remote, , ","aws,react",77025,198419,27
224,frontend_engineer_224,role description 224,frontend,mid,"Remote, , ","python,aws,sql",73151,184533,53
225,data_engineer_225,role description 225,data,staff,"Berlin, , Germany","aws,kubernetes,tf",64229,138041,17
226,ml_engineer_226,role description 226,ml,junior,"Austin, TX, USA","sql,tf,ml,python",88569,191442,58
227,devops_engineer_227,role description 227,devops,staff,"Austin, TX, USA","go,sql,kubernetes",100996,153735,3
228,devops_engineer_228,role description 228,devops,junior,"SF, CA, USA","tf,java,sql",74101,159113,19
229,software_engineer_229,role description 229,software,mid,"Austin, TX, USA","java,sql",60097,164685,21
230,devops_engineer_230,role description 230,devops,staff,"Berlin, , Germany","java,react,python,ml",88399,181711,37
231,ml_engineer_231,role description 231,ml,senior,"NYC, NY, USA","sql,tf,aws",100544,129622,10
232,software_engineer_232,role description 232,software,staff,"Austin, TX, USA","kubernetes,java,aws",80699,163140,13
233,frontend_engineer_233,role description 233,frontend,senior,"NYC, NY, USA","kubernetes,react,python",75022,185345,39
234,devops_engineer_234,role description 234,devops,senior,"Berlin, , Germany","java,sql",69257,163880,17
235,frontend_engineer_235,role description 235,frontend,mid,"London, , UK","ml,react",104766,141974,52
236,frontend_engineer_236,role description 236,frontend,junior,"SF, CA, USA","aws,react,sql",111693,124502,52
237,devops_engineer_237,role description 237,devops,junior,"SF, CA, USA","rust,aws,go,react",106185,163941,18
238,data_engineer_238,role description 238,data,mid,"Remote, , ","tf,python,rust,go",91091,176268,33
239,frontend_engineer_239,role description 239,frontend,junior,"Austin, TX, USA","react,kubernetes,rust",103446,163970,19
240,software_engineer_240,role description 240,software,senior,"SF, CA, USA","kubernetes,tf,ml,react",83815,198348,20
241,devops_engineer_241,role description 241,devops,staff,"Berlin, , Germany","go,kubernetes,react,sql",61469,168211,40
242,software_engineer_242,role description 242,software,staff,"Remote, , ","sql,ml",82054,160658,17
243,frontend_engineer_243,role description 243,frontend,mid,"NYC, NY, USA","ml,aws,python",102224,124438,8
244,frontend_engineer_244,role description 244,frontend,staff,"London, , UK","react,aws,rust,ml",98840,164687,15
245,software_engineer_245,role description 245,software,staff,"London, , UK","kubernetes,java,aws,go",119408,133489,55
246,frontend_engineer_246,role description 246,frontend,staff,"Berlin, , Germany","kubernetes,java,aws",119849,177978,15
247,devops_engineer_247,role description 247,devops,mid,"SF, CA, USA","go,sql",74557,132895,21
248,frontend_engineer_248,role description 248,frontend,mid,"NYC, NY, USA","react,ml",60573,192535,37
249,software_engineer_249,role description 249,software,staff,"Remote, , ","react,go",76454,144164,6
250,software_engineer_250,role description 250,software,junior,"Berlin, , Germany","java,python,ml,react",112568,154718,16
251,devops_engineer_251,role description 251,devops,mid,"Berlin, , Germany","aws,sql",108811,131593,10
252,software_engineer_252,role description 252,software,junior,"SF, CA, USA","ml,rust,python,java",65925,136855,55
253,data_engineer_253,role description 253,data,staff,"Berlin, , Germany","tf,aws,rust",69623,193753,55
254,frontend_engineer_254,role description 254,frontend,senior,"SF, CA, USA","aws,python,sql",93811,142694,45
255,software_engineer_255,role description 255,software,junior,"London, , UK","aws,python",99635,161036,14
256,frontend_engineer_256,role description 256,frontend,junior,"London, , UK","go,kubernetes,aws,ml",118940,198511,36
257,software_engineer_257,role description 257,software,senior,"Berlin, , Germany","aws,tf,go",105301,169886,39
258,software_engineer_258,role description 258,software,senior,"NYC, NY, USA","rust,ml",72711,123331,52
259,devops_engineer_259,role description 259,devops,staff,"Austin, TX, USA","rust,kubernetes",62229,148599,9
260,frontend_engineer_260,role description 260,frontend,mid,"NYC, NY, USA","python,react,sql",98016,150948,44
261,software_engineer_261,role description 261,software,staff,"Austin, TX, USA","go,sql,java,aws",93225,142099,11
262,data_engineer_262,role description 262,data,mid,"NYC, NY, USA","sql,java,ml,python",115305,139294,34
263,ml_engineer_263,role description 263,ml,staff,"Berlin, , Germany","go,ml",94552,160254,52
264,ml_engineer_264,role description 264,ml,junior,"NYC, NY, USA","go,java",90074,150163,3
265,devops_engineer_265,role description 265,devops,junior,"NYC, NY, USA","rust,kubernetes,go,python",78206,143545,8
266,devops_engineer_266,role description 266,devops,junior,"London, , UK","rust,tf,ml,react",65176,153038,48
267,data_engineer_267,role description 267,data,mid,"London, , UK","tf,aws",112580,147491,1
268,frontend_engineer_268,role description 268,frontend,staff,"NYC, NY, USA","java,rust",109563,138299,41
269,devops_engineer_269,role description 269,devops,junior,"Austin, TX, USA","react,ml,java",69764,156220,30
270,data_engineer_270,role description 270,data,mid,"SF, CA, USA","python,rust,tf",102233,195384,20
271,software_engineer_271,role description 271,software,junior,"SF, CA, USA","rust,sql",81851,160458,51
272,software_engineer_272,role description 272,software,staff,"SF, CA, USA","kubernetes,java",86222,167804,50
273,ml_engineer_273,role description 273,ml,senior,"Remote, , ","tf,go",110920,198745,19
274,devops_engineer_274,role description 274,devops,staff,"SF, CA, USA","tf,rust,python",110521,169088,0
275,devops_engineer_275,role description 275,devops,senior,"Remote, , ","rust,react",71438,137865,7
276,devops_engineer_276,role description 276,devops,senior,"SF, CA, USA","java,react",78456,151877,6
277,frontend_engineer_277,role description 277,frontend,staff,"NYC, NY, USA","kubernetes,sql",109282,159038,58
278,software_engineer_278,role description 278,software,junior,"Remote, , ","aws,ml",115019,157982,35
279,software_engineer_279,role description 279,software,staff,"London, , UK","sql,react,aws,kubernetes",64744,131960,40
280,data_engineer_280,role description 280,data,senior,"London, , UK","python,java,go,kubernetes",110015,128466,13
281,devops_engineer_281,role description 281,devops,senior,"Remote, , ","ml,python,aws",89353,147999,51
282,frontend_engineer_282,role description 282,frontend,mid,"SF, CA, USA","go,kubernetes,python,aws",95418,193140,43
283,devops_engineer_283,role description 283,devops,staff,"London, , UK","python,kubernetes",64519,177384,45
284,devops_engineer_284,role description 284,devops,mid,"London, , UK","python,react,tf,ml",100821,187337,28
285,ml_engineer_285,role description 285,ml,junior,"London, , UK","go,java,tf",100674,133956,41
286,software_engineer_286,role description 286,software,staff,"Austin, TX, USA","tf,kubernetes,java,rust",99762,153141,32
287,devops_engineer_287,role description 287,devops,junior,"London, , UK","react,go,sql,ml",107436,166508,23
288,devops_engineer_288,role description 288,devops,junior,"Austin, TX, USA","aws,python",116763,154745,35
289,devops_engineer_289,role description 289,devops,senior,"Remote, , ","ml,kubernetes",110991,153336,19
